Question	Answer	Source	Metadata
Slik fungerer ververabattene	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
ververabatt	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
har dere ververabatt	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
tilbyr dere ververabatt	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
hva med ververabatt	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
verving	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
verve	Dersom du ønsker å fortelle bekjente om oss, setter vi utrolig stor pris på det.\n\n Ved å verve nye kunder kan du få rabatter i nettbutikken. Du kan du gi bort rabattkuponger på 100,- til venner og bekjente, og I tillegg gir vi deg 100,- for hver nye kunde du verver. Rabattene utløses automatisk på handler over kr 600,-.\n\n#### Slik fungerer det\n\n 1  Hvis du er logget inn, kan du gå til [denne siden](https://kolonial.no/invitasjoner/) for å finne din unike vervelink. Del og send den til venner og kjente!  2  Dersom man klikker på linken og registrerer seg ved å følge anvisningene blir en rabattkupong automatisk delt ut til den du har vervet.  3  Når den vervede gjør sin første handel som oppfyller kupongens vilkår (handler for over minimumsbeløpet o.a.) gir vi deg en rabattkupong også. \n\n Les mer og se hvor mange du har vervet på denne siden: [https://kolonial.no/invitasjoner/](https://kolonial.no/invitasjoner/)	https://hjelp.kolonial.no/	
Vårt prisnivå	Kolonial.no konkurrerer med lavpriskjedene på pris. Konkret betyr det å ligge noen få prosent over REMA1000, og langt under supermarkedene.\n\n Det vil ikke si at vi alltid kan matche tilbud og priser på enkeltvarer til enhver tid, men det gir en indikasjon på hvor «i landskapet» vi ligger. (Priser er påvirket av mange faktorer, for eksempel salg, sesong og tilgjengelighet og kan endre seg flere ganger om dagen. Er du opptatt av å sammenligne, bør du sammenligne en hel handlekurv.) Det viktigste for oss er uansett at du skal være trygg på at netthandel er smart for lommeboka.\n\n[Du kan lese mer om prisene våre, og se vår prismatch med REMA1000 på bestselgere her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
prisnivå	Kolonial.no konkurrerer med lavpriskjedene på pris. Konkret betyr det å ligge noen få prosent over REMA1000, og langt under supermarkedene.\n\n Det vil ikke si at vi alltid kan matche tilbud og priser på enkeltvarer til enhver tid, men det gir en indikasjon på hvor «i landskapet» vi ligger. (Priser er påvirket av mange faktorer, for eksempel salg, sesong og tilgjengelighet og kan endre seg flere ganger om dagen. Er du opptatt av å sammenligne, bør du sammenligne en hel handlekurv.) Det viktigste for oss er uansett at du skal være trygg på at netthandel er smart for lommeboka.\n\n[Du kan lese mer om prisene våre, og se vår prismatch med REMA1000 på bestselgere her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
hvilket prisnivå ligger dere på?	Kolonial.no konkurrerer med lavpriskjedene på pris. Konkret betyr det å ligge noen få prosent over REMA1000, og langt under supermarkedene.\n\n Det vil ikke si at vi alltid kan matche tilbud og priser på enkeltvarer til enhver tid, men det gir en indikasjon på hvor «i landskapet» vi ligger. (Priser er påvirket av mange faktorer, for eksempel salg, sesong og tilgjengelighet og kan endre seg flere ganger om dagen. Er du opptatt av å sammenligne, bør du sammenligne en hel handlekurv.) Det viktigste for oss er uansett at du skal være trygg på at netthandel er smart for lommeboka.\n\n[Du kan lese mer om prisene våre, og se vår prismatch med REMA1000 på bestselgere her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
hva er privnivået	Kolonial.no konkurrerer med lavpriskjedene på pris. Konkret betyr det å ligge noen få prosent over REMA1000, og langt under supermarkedene.\n\n Det vil ikke si at vi alltid kan matche tilbud og priser på enkeltvarer til enhver tid, men det gir en indikasjon på hvor «i landskapet» vi ligger. (Priser er påvirket av mange faktorer, for eksempel salg, sesong og tilgjengelighet og kan endre seg flere ganger om dagen. Er du opptatt av å sammenligne, bør du sammenligne en hel handlekurv.) Det viktigste for oss er uansett at du skal være trygg på at netthandel er smart for lommeboka.\n\n[Du kan lese mer om prisene våre, og se vår prismatch med REMA1000 på bestselgere her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
lavpris	Kolonial.no konkurrerer med lavpriskjedene på pris. Konkret betyr det å ligge noen få prosent over REMA1000, og langt under supermarkedene.\n\n Det vil ikke si at vi alltid kan matche tilbud og priser på enkeltvarer til enhver tid, men det gir en indikasjon på hvor «i landskapet» vi ligger. (Priser er påvirket av mange faktorer, for eksempel salg, sesong og tilgjengelighet og kan endre seg flere ganger om dagen. Er du opptatt av å sammenligne, bør du sammenligne en hel handlekurv.) Det viktigste for oss er uansett at du skal være trygg på at netthandel er smart for lommeboka.\n\n[Du kan lese mer om prisene våre, og se vår prismatch med REMA1000 på bestselgere her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
rema1000	Kolonial.no konkurrerer med lavpriskjedene på pris. Konkret betyr det å ligge noen få prosent over REMA1000, og langt under supermarkedene.\n\n Det vil ikke si at vi alltid kan matche tilbud og priser på enkeltvarer til enhver tid, men det gir en indikasjon på hvor «i landskapet» vi ligger. (Priser er påvirket av mange faktorer, for eksempel salg, sesong og tilgjengelighet og kan endre seg flere ganger om dagen. Er du opptatt av å sammenligne, bør du sammenligne en hel handlekurv.) Det viktigste for oss er uansett at du skal være trygg på at netthandel er smart for lommeboka.\n\n[Du kan lese mer om prisene våre, og se vår prismatch med REMA1000 på bestselgere her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
Hvordan bruke handlelister	Handlelister er lister av varer du kan lagre og handle flere ganger. Lag handlelister med varer du ofte trenger og gjør unna handlingen på rekordtid! Du kan bruke dem til å planlegge litt fram i tid, til oppskrifter du lager ofte eller f.eks. til hytteturer. Du kan legge både varer og oppskrifter i handlelister ved å bruke knappen med «liste»-ikonet.	https://hjelp.kolonial.no/	
handlelister	Handlelister er lister av varer du kan lagre og handle flere ganger. Lag handlelister med varer du ofte trenger og gjør unna handlingen på rekordtid! Du kan bruke dem til å planlegge litt fram i tid, til oppskrifter du lager ofte eller f.eks. til hytteturer. Du kan legge både varer og oppskrifter i handlelister ved å bruke knappen med «liste»-ikonet.	https://hjelp.kolonial.no/	
handleliste	Handlelister er lister av varer du kan lagre og handle flere ganger. Lag handlelister med varer du ofte trenger og gjør unna handlingen på rekordtid! Du kan bruke dem til å planlegge litt fram i tid, til oppskrifter du lager ofte eller f.eks. til hytteturer. Du kan legge både varer og oppskrifter i handlelister ved å bruke knappen med «liste»-ikonet.	https://hjelp.kolonial.no/	
lister	Handlelister er lister av varer du kan lagre og handle flere ganger. Lag handlelister med varer du ofte trenger og gjør unna handlingen på rekordtid! Du kan bruke dem til å planlegge litt fram i tid, til oppskrifter du lager ofte eller f.eks. til hytteturer. Du kan legge både varer og oppskrifter i handlelister ved å bruke knappen med «liste»-ikonet.	https://hjelp.kolonial.no/	
Endre bestilling eller legge til varer	Hvis du har glemt en vare eller to kan du enkelt bare legge inn en ny bestilling på varene du har glemt. Du kan legge til flere varer på en bestilling **helt fram til pakkingen har begynt**. Er du heldig kan bestillingen endres helt fram til bestillingsfristen for den utleveringstiden du har valgt ([Her kan du sjekke bestillingsfristene våre](https://kolonial.no/utlevering/)**men dette er ikke alltid tilfelle***\n\n**Hvis du har en åpen bestilling vil du bli spurt om å endre forrige bestilling eller lage en ny bestilling når du går videre fra handlekurven.** Hvis du velger «Ja, endre min forrige bestilling» vil vi gi deg muligheten til å betale mellomlegget.\n\nHvis mellomlegget er negativt, vil vi trekke en tilsvarende mindre sum fra totalbeløpet.\n\n*   [I nettbanken ser det ut som dere har trukket meg to ganger](https://hjelp.kolonial.no/article/187-i-nettbanken-ser-det-ut-som-dere-har-trukket-meg-to-ganger)	https://hjelp.kolonial.no/	
endre bestilling	Hvis du har glemt en vare eller to kan du enkelt bare legge inn en ny bestilling på varene du har glemt. Du kan legge til flere varer på en bestilling **helt fram til pakkingen har begynt**. Er du heldig kan bestillingen endres helt fram til bestillingsfristen for den utleveringstiden du har valgt ([Her kan du sjekke bestillingsfristene våre](https://kolonial.no/utlevering/)**men dette er ikke alltid tilfelle***\n\n**Hvis du har en åpen bestilling vil du bli spurt om å endre forrige bestilling eller lage en ny bestilling når du går videre fra handlekurven.** Hvis du velger «Ja, endre min forrige bestilling» vil vi gi deg muligheten til å betale mellomlegget.\n\nHvis mellomlegget er negativt, vil vi trekke en tilsvarende mindre sum fra totalbeløpet.\n\n*   [I nettbanken ser det ut som dere har trukket meg to ganger](https://hjelp.kolonial.no/article/187-i-nettbanken-ser-det-ut-som-dere-har-trukket-meg-to-ganger)	https://hjelp.kolonial.no/	
endre ordre	Hvis du har glemt en vare eller to kan du enkelt bare legge inn en ny bestilling på varene du har glemt. Du kan legge til flere varer på en bestilling **helt fram til pakkingen har begynt**. Er du heldig kan bestillingen endres helt fram til bestillingsfristen for den utleveringstiden du har valgt ([Her kan du sjekke bestillingsfristene våre](https://kolonial.no/utlevering/)**men dette er ikke alltid tilfelle***\n\n**Hvis du har en åpen bestilling vil du bli spurt om å endre forrige bestilling eller lage en ny bestilling når du går videre fra handlekurven.** Hvis du velger «Ja, endre min forrige bestilling» vil vi gi deg muligheten til å betale mellomlegget.\n\nHvis mellomlegget er negativt, vil vi trekke en tilsvarende mindre sum fra totalbeløpet.\n\n*   [I nettbanken ser det ut som dere har trukket meg to ganger](https://hjelp.kolonial.no/article/187-i-nettbanken-ser-det-ut-som-dere-har-trukket-meg-to-ganger)	https://hjelp.kolonial.no/	
jeg vil endre en ordre	Hvis du har glemt en vare eller to kan du enkelt bare legge inn en ny bestilling på varene du har glemt. Du kan legge til flere varer på en bestilling **helt fram til pakkingen har begynt**. Er du heldig kan bestillingen endres helt fram til bestillingsfristen for den utleveringstiden du har valgt ([Her kan du sjekke bestillingsfristene våre](https://kolonial.no/utlevering/)**men dette er ikke alltid tilfelle***\n\n**Hvis du har en åpen bestilling vil du bli spurt om å endre forrige bestilling eller lage en ny bestilling når du går videre fra handlekurven.** Hvis du velger «Ja, endre min forrige bestilling» vil vi gi deg muligheten til å betale mellomlegget.\n\nHvis mellomlegget er negativt, vil vi trekke en tilsvarende mindre sum fra totalbeløpet.\n\n*   [I nettbanken ser det ut som dere har trukket meg to ganger](https://hjelp.kolonial.no/article/187-i-nettbanken-ser-det-ut-som-dere-har-trukket-meg-to-ganger)	https://hjelp.kolonial.no/	
Kan man tjene Norwegian CashPoints på Kolonial.no?	Det er to måter å tjene CashPoints på hos oss:\n 1 **Du kan få 300 CashPoints ved å registrere kontoen din hos på [kolonial.no/r/norwegian/](https://kolonial.no/r/norwegian/) og fylle inn Reward-nummeret ditt.** Du vil automatisk motta 300 CashPoints etter tre handler på minst 600,-. Gjelder nye kunder. Du vil motta dine CashPoints omtrent et døgn etter at den tredje bestillingen din er levert eller plukket opp.	https://hjelp.kolonial.no/	
cashpoints	Det er to måter å tjene CashPoints på hos oss:\n 1 **Du kan få 300 CashPoints ved å registrere kontoen din hos på [kolonial.no/r/norwegian/](https://kolonial.no/r/norwegian/) og fylle inn Reward-nummeret ditt.** Du vil automatisk motta 300 CashPoints etter tre handler på minst 600,-. Gjelder nye kunder. Du vil motta dine CashPoints omtrent et døgn etter at den tredje bestillingen din er levert eller plukket opp.	https://hjelp.kolonial.no/	
Hvor henvender jeg meg hvis jeg ønsker meg en vare i utvalget?	Vi trenger hjelp til å fylle hyllene våre, og alle forslag til produkter og/eller produsenter mottas med takk. Hvis vi får tak i varen du etterspør og det er grunn til å tro at etterspørselen er stor, er det gode sjanser for at vi kan ta det inn. Uansett kan du [sende inn ønskene dine her!](https://kolonial.no/kundeservice/produktforslag/) Vi tar stilling til alle forslag.	https://hjelp.kolonial.no/	
forslag produkt	Vi trenger hjelp til å fylle hyllene våre, og alle forslag til produkter og/eller produsenter mottas med takk. Hvis vi får tak i varen du etterspør og det er grunn til å tro at etterspørselen er stor, er det gode sjanser for at vi kan ta det inn. Uansett kan du [sende inn ønskene dine her!](https://kolonial.no/kundeservice/produktforslag/) Vi tar stilling til alle forslag.	https://hjelp.kolonial.no/	
produktforslag	Vi trenger hjelp til å fylle hyllene våre, og alle forslag til produkter og/eller produsenter mottas med takk. Hvis vi får tak i varen du etterspør og det er grunn til å tro at etterspørselen er stor, er det gode sjanser for at vi kan ta det inn. Uansett kan du [sende inn ønskene dine her!](https://kolonial.no/kundeservice/produktforslag/) Vi tar stilling til alle forslag.	https://hjelp.kolonial.no/	
Slik fungerer invitasjonskoder	### Har du fått en invitasjonskode til Kolonial.no?\n\n Kanskje har du vært så heldig å få en invitasjonskode fra en venn eller bekjent, eller av oss, gjennom en kampanje, et møte eller lignende? Isåfall kan dette bety en rabatt eller en annen fordel som ny kunde av oss.\n\n En invitasjonskode må benyttes i det du lager brukerkontoen. Du kan aktivere den på to måter:\n 1 \n\nNår du lager en brukerkonto hos oss har du muligheten til å klikke på linken «Jeg har en invitasjonskode» nederst i registreringsskjemaet.\n 2 \n\n Du kan også besøke nettadressen *https://kolonial.no/r/**din-invitasjonskode***. Bytt ut den siste delen av nettadressen med invitasjonskoden du har fått og følg instruksjonene. \n\n\n\n Begge disse metodene vil gjøre at brukerkontoen din aktiveres med en rabattkupong klar til bruk. Som regel vil betingelser gjelde (for eksempel krav til minimumshandel for at rabatten skal utløses og begrenset varighet).\n\n Les mer om kuponger i [betingelsene våre](https://kolonial.no/betingelser/#kuponger-og-gavekort)\n\n*   [Slik fungerer ververabattene](https://hjelp.kolonial.no/article/294-slik-fungerer-ververabattene)	https://hjelp.kolonial.no/	
invitasjonskoder	### Har du fått en invitasjonskode til Kolonial.no?\n\n Kanskje har du vært så heldig å få en invitasjonskode fra en venn eller bekjent, eller av oss, gjennom en kampanje, et møte eller lignende? Isåfall kan dette bety en rabatt eller en annen fordel som ny kunde av oss.\n\n En invitasjonskode må benyttes i det du lager brukerkontoen. Du kan aktivere den på to måter:\n 1 \n\nNår du lager en brukerkonto hos oss har du muligheten til å klikke på linken «Jeg har en invitasjonskode» nederst i registreringsskjemaet.\n 2 \n\n Du kan også besøke nettadressen *https://kolonial.no/r/**din-invitasjonskode***. Bytt ut den siste delen av nettadressen med invitasjonskoden du har fått og følg instruksjonene. \n\n\n\n Begge disse metodene vil gjøre at brukerkontoen din aktiveres med en rabattkupong klar til bruk. Som regel vil betingelser gjelde (for eksempel krav til minimumshandel for at rabatten skal utløses og begrenset varighet).\n\n Les mer om kuponger i [betingelsene våre](https://kolonial.no/betingelser/#kuponger-og-gavekort)\n\n*   [Slik fungerer ververabattene](https://hjelp.kolonial.no/article/294-slik-fungerer-ververabattene)	https://hjelp.kolonial.no/	
invitasjonskode	### Har du fått en invitasjonskode til Kolonial.no?\n\n Kanskje har du vært så heldig å få en invitasjonskode fra en venn eller bekjent, eller av oss, gjennom en kampanje, et møte eller lignende? Isåfall kan dette bety en rabatt eller en annen fordel som ny kunde av oss.\n\n En invitasjonskode må benyttes i det du lager brukerkontoen. Du kan aktivere den på to måter:\n 1 \n\nNår du lager en brukerkonto hos oss har du muligheten til å klikke på linken «Jeg har en invitasjonskode» nederst i registreringsskjemaet.\n 2 \n\n Du kan også besøke nettadressen *https://kolonial.no/r/**din-invitasjonskode***. Bytt ut den siste delen av nettadressen med invitasjonskoden du har fått og følg instruksjonene. \n\n\n\n Begge disse metodene vil gjøre at brukerkontoen din aktiveres med en rabattkupong klar til bruk. Som regel vil betingelser gjelde (for eksempel krav til minimumshandel for at rabatten skal utløses og begrenset varighet).\n\n Les mer om kuponger i [betingelsene våre](https://kolonial.no/betingelser/#kuponger-og-gavekort)\n\n*   [Slik fungerer ververabattene](https://hjelp.kolonial.no/article/294-slik-fungerer-ververabattene)	https://hjelp.kolonial.no/	
Hva er bestillingsvarer?	Et fåtall spesialvarer fra noen leverandører er bestillingsvarer hos oss. Disse er merket med tidligste mulige leveringstidspunkt, f.eks. «kan leveres onsdag».\n\n Det vil si at vi har det i utvalget, men at vi har **opp til to dagers bestillingstid**. Det er også noen varer (oksehaler, hjort osv.) som **ikke kan leveres alle dager**. Vi splitter aldri opp bestillingen din - isteden vil vi automatisk begrense utleveringsalternativene dine slik at det passer med det du har i handlekurven. Derfor kan det hende du får litt færre valg enn vanlig hvis du kjøper disse varene.	https://hjelp.kolonial.no/	
bestillingsvarer	Et fåtall spesialvarer fra noen leverandører er bestillingsvarer hos oss. Disse er merket med tidligste mulige leveringstidspunkt, f.eks. «kan leveres onsdag».\n\n Det vil si at vi har det i utvalget, men at vi har **opp til to dagers bestillingstid**. Det er også noen varer (oksehaler, hjort osv.) som **ikke kan leveres alle dager**. Vi splitter aldri opp bestillingen din - isteden vil vi automatisk begrense utleveringsalternativene dine slik at det passer med det du har i handlekurven. Derfor kan det hende du får litt færre valg enn vanlig hvis du kjøper disse varene.	https://hjelp.kolonial.no/	
